name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"AN_Iran_fault_6                                                     ",55.148,31.241,55.262,30.688,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,1.5,1,1,0,1,0,0,5,0,0,0,0,1,0,0,
"AN_KB                                                               ",54.737,32.554,55.306,32.398,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"AS_Iran_fault_1                                                     ",55.499,30.384,55.599,30.354,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_10                                                    ",56.42,30,56.447,29.98,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_11                                                    ",56.447,29.98,56.491,29.931,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_12                                                    ",56.491,29.931,56.533,29.889,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_2                                                     ",55.599,30.354,55.722,30.29,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_3                                                     ",55.722,30.29,55.85,30.237,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_4                                                     ",55.85,30.237,55.987,30.189,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_5                                                     ",55.987,30.189,56.083,30.141,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_6                                                     ",56.083,30.141,56.19,30.095,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_7                                                     ",56.19,30.095,56.318,30.071,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_8                                                     ",56.318,30.071,56.407,30.008,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AS_Iran_fault_9                                                     ",56.407,30.008,56.42,30,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AU_Java                                                             ",133.762,-5.545,134.049,-4.476,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,30,0,15,5,0,0,0,0,0,0,0,
