lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
269.196,14.638,0.035,0,"CML__GPS  ",9.438,2.997,0.791,0.755,1,0,1,0,0,0,
247.883,50.665,0,0,"1655_GPS  ",2.137,1.202,0.1,1.1,1,0,1,0,0,0,
247.879,40.653,0,0,"COON_GPS  ",-1.853,1.351,0.3,0.291,1,0,1,0,0,0,
247.873,39.306,0,0,"SPIC_GPS  ",-2.256,1.704,0.387,0.344,1,0,1,0,0,0,
269.212,39.179,0,0,"MOEB_GPS  ",0.955,1.027,1.499,1.453,1,0,1,0,0,0,
247.867,40.708,0,0,"KERR_GPS  ",-1.226,1.78,0.67,0.53,1,0,1,0,0,0,
247.853,34.046,0.089,0,"RCK0_GPS  ",-0.859,2.938,3.3,3.45,1,0,1,0,0,0,
247.852,41.795,0,0,"SIDE_GPS  ",-2.335,1.2,0.67,0.48,1,0,1,0,0,0,
247.849,39.602,-0.07,0,"G101_GPS  ",-3.277,1.964,0.82,0.69,1,0,1,0,0,0,
247.848,34.784,0,0,"P004_GPS  ",-2.211,1.898,0.712,0.798,1,0,1,0,0,0,
269.255,39.067,0,0,"FWI0_GPS  ",0.327,0.525,1.502,1.05,1,0,1,0,0,0,
269.256,37.705,0,0,"MOBW_GPS  ",1.115,0.633,0.938,0.94,1,0,1,0,0,0,
269.267,33.747,0,0,"MSCL_GPS  ",-0.138,1.596,0.398,0.401,1,0,1,0,0,0,
269.276,29.592,0,0,"HOUM_GPS  ",-0.417,0.311,0.263,0.375,1,0,1,0,0,0,
247.796,47.834,0.036,0,"M729_GPS  ",1.437,1.496,0.557,0.592,1,0,1,0,0,0,
247.787,42.036,-0.047,0,"DRUF_GPS  ",-1.173,0.997,0.43,0.447,1,0,1,0,0,0,
247.778,42.696,-0.048,0,"I762_GPS  ",-1.518,0.427,0.418,0.436,1,0,1,0,0,0,
247.777,38.48,0,0,"P009_GPS  ",-1.471,1.389,0.482,0.431,1,0,1,0,0,0,
269.304,38.754,0,0,"MOOF_GPS  ",0.915,0.41,1.009,0.867,1,0,1,0,0,0,
247.775,42.344,0.119,0,"P99X_GPS  ",-3.116,-0.312,0.604,0.66,1,0,1,0,0,0,
247.773,32.839,0.028,0,"LINN_GPS  ",-1.33,2.566,2.55,2.7,1,0,1,0,0,0,
269.307,38.739,0,0,"SIDC_GPS  ",0.021,1.188,0.59,0.482,1,0,1,0,0,0,
247.772,33.451,0,0,"SRP1_GPS  ",-2.189,2.318,0.408,0.323,1,0,1,0,0,0,
269.31,34.114,0,0,"MSB9_GPS  ",0.227,1.352,0.455,0.418,1,0,1,0,0,0,
269.31,34.115,0,0,"MSB0_GPS  ",-0.433,1.371,0.43,0.368,1,0,1,0,0,0,
247.77,41.016,0,0,"NAIU_GPS  ",-1.35,1.2,0.3,0.3,1,0,1,0,0,0,
247.77,43.839,0.008,0,"TERR_GPS  ",-1.073,-0.641,0.507,0.515,1,0,1,0,0,0,
247.765,41.042,0,0,"BENN_GPS  ",-1.332,1.984,0.67,0.53,1,0,1,0,0,0,
247.764,44.068,-0.033,0,"I132_GPS  ",-1.006,0.118,0.381,0.4,1,0,1,0,0,0,
247.758,39.14,0.01,0,"G200_GPS  ",-2.374,1.35,0.84,0.59,1,0,1,0,0,0,
269.326,42.456,0,0,"IADU_GPS  ",0.683,0.442,0.712,0.817,1,0,1,0,0,0,
247.753,41.592,0,0,"LTUT_GPS  ",-1.626,0.504,0.451,0.402,1,0,1,0,0,0,
269.33,40.458,0,0,"ILM0_GPS  ",1.303,0.616,1.728,1.291,1,0,1,0,0,0,
247.747,40.635,0,0,"ERDA_GPS  ",-1.233,1.175,0.72,0.58,1,0,1,0,0,0,
247.746,40.702,0,0,"LAKE_GPS  ",-1.118,2.095,0.72,0.58,1,0,1,0,0,0,
247.739,45.061,0.005,0,"SWET_GPS  ",0.038,1.804,0.577,0.589,1,0,1,0,0,0,
247.738,39.459,0,0,"P106_GPS  ",-2.431,1.44,0.398,0.386,1,0,1,0,0,0,
269.351,38.806,0,0,"MOS9_GPS  ",0.169,1.114,0.506,0.373,1,0,1,0,0,0,
269.355,42.074,0,0,"IAMQ_GPS  ",0.756,0.196,0.721,0.588,1,0,1,0,0,0,
269.356,38.665,0,0,"SRDX_GPS  ",0.182,1.09,0.367,0.369,1,0,1,0,0,0,
247.718,40.649,0,0,"P086_GPS  ",-1.881,1.345,0.387,0.367,1,0,1,0,0,0,
269.37,15.458,0.043,0,"PAM0_Fra  ",4.862,6.774,1.23,1.2,1,0,1,0,0,0,
269.37,41.61,0,0,"IADA_GPS  ",1.084,1.064,0.649,0.672,1,0,1,0,0,0,
247.692,33.834,0.052,0,"LAKE_GPS  ",-1.469,3.154,4.95,5.55,1,0,1,0,0,0,
247.682,34.588,0,0,"AZPV_GPS  ",-1.914,2.818,0.824,0.647,1,0,1,0,0,0,
247.674,44.338,0,0,"PZCG_GPS  ",-1.215,-0.519,0.609,0.608,1,0,1,0,0,0,
247.668,41.635,0,0,"P122_GPS  ",-1.416,0.76,0.355,0.339,1,0,1,0,0,0,
247.662,43.54,0.003,0,"BUSH_GPS  ",-1.274,-0.485,0.771,0.771,1,0,1,0,0,0,
269.427,34.217,0,0,"EDC0_GPS  ",0.104,0.938,0.717,0.77,1,0,1,0,0,0,
247.643,36.17,0.048,0,"SIGN_GPS  ",-1.709,1.778,5.55,6.6,1,0,1,0,0,0,
247.642,42.156,0.108,0,"A811_GPS  ",-1.097,-0.694,0.583,0.636,1,0,1,0,0,0,
247.642,44.906,0.001,0,"PRIC_GPS  ",-0.343,1.167,0.587,0.596,1,0,1,0,0,0,
269.438,50.704,0,0,"C122_GPS  ",-0.338,-0.571,1.155,1.558,1,0,1,0,0,0,
247.639,40.078,0,0,"P016_GPS  ",-2.617,1.356,0.396,0.389,1,0,1,0,0,0,
247.628,42.87,0,0,"PTIG_GPS  ",-2.401,0.344,0.662,0.603,1,0,1,0,0,0,
269.46,19.845,0.029,0,"CAMP_GPS  ",-0.094,1.606,0.5,0.5,1,0,1,0,0,0,
269.469,43.23,0,0,"BLRW_GPS  ",0.962,0.429,0.554,0.514,1,0,1,0,0,0,
269.473,19.853,0,0,"ICA0_GPS  ",0.012,1.208,0.525,0.49,1,0,1,0,0,0,
269.478,14.59,0.118,0,"GUAT_Fra  ",11.853,5.552,0.413,0.402,1,0,1,0,0,0,
269.48,14.59,0,0,"GUAT_GPS  ",11.853,5.552,0.413,0.402,1,0,1,0,0,0,
269.481,36.059,0,0,"ARPG_GPS  ",-0.064,1.152,0.296,0.255,1,0,1,0,0,0,
247.599,42.826,-0.036,0,"I585_GPS  ",-1.602,0.73,0.453,0.458,1,0,1,0,0,0,
