lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
242.391,33.858,HVWY_PBO,-24.859,25.79,0.2,0.2,1,0,1,
242.135,33.863,P247_PBO,-26.296,25.778,1.04,1.07,1,0,1,
243.788,33.866,P040_PBO,-9.654,9.558,0.3,0.4,1,0,1,
242.453,33.884,MDMT_PBO,-24.609,26.506,0.93,0.96,1,0,1,
244.704,33.887,GS03_GPS,-4.55,0.637,0.4,0.4,1,0,1,
241.671,33.887,FORE_PBO,-27.654,29.122,0.589,0.596,1,0,1,
243.048,33.893,RG21_PBO,-17.756,19.475,0.3,0.3,1,0,1,
242.262,33.914,P250_PBO,-25.616,26.334,0.86,0.88,1,0,1,
242.682,33.918,P718_PBO,-23.456,24.484,0.2,0.2,1,0,1,
241.693,33.928,P118_PBO,-27.628,27.356,0.709,0.712,1,0,1,
243.608,33.935,P673_PBO,-10.546,17.902,0.93,0.95,1,0,1,
239.894,33.951,RCA2_PBO,-30.864,36.098,0.94,0.93,1,0,1,
241.572,33.958,P519_PBO,-27.816,28.301,1.16,1.18,1,0,1,
243.92,33.959,RESO_PBO,-6.55,5.455,0.9,1,1,0,1,
241.905,33.962,P008_PBO,-28.858,30.001,0.3,0.5,1,0,1,
244.001,33.974,P217_PBO,-4.757,4.357,1.57,1.7,1,0,1,
242.451,33.975,P237_PBO,-24.234,26.006,1.11,1.14,1,0,1,
242.151,33.993,P710_PBO,-25.589,25.572,0.545,0.55,1,0,1,
240.247,33.995,P139_PBO,-29.811,34.414,0.92,0.92,1,0,1,
244.002,34.001,JFWS_PBO,-5.948,5.653,0.3,0.2,1,0,1,
243.048,34.003,P236_PBO,-14.933,20.713,1.09,1.1,1,0,1,
239.935,34.004,GLRS_PBO,-31.465,35.646,0.2,0.2,1,0,1,
242.861,34.014,HCRO_PBO,-17.055,21.21,0.94,0.99,1,0,1,
240.637,34.015,YELL_PBO,-30.861,35.831,0.4,1.2,1,0,1,
242.487,34.018,P273_PBO,-22.734,24.555,1.02,1.05,1,0,1,
241.974,34.019,AHID_PBO,-27.755,25.1,0.3,0.6,1,0,1,
242.896,34.022,P674_PBO,-17.684,20.569,1.08,1.11,1,0,1,
241.651,34.024,P360_PBO,-27.257,26.607,0.4,0.4,1,0,1,
240.215,34.029,P019_PBO,-30.977,35.222,0.579,0.572,1,0,1,
242.557,34.032,P180_PBO,-23.122,24.682,0.92,0.93,1,0,1,
239.649,34.038,P610_PBO,-31.665,36.453,0.3,0.3,1,0,1,
242.9,34.039,P235_PBO,-18.89,19.999,0.83,0.86,1,0,1,
244.773,34.04,P211_PBO,-0.711,1.039,1.83,1.76,1,0,1,
242.116,34.042,P244_PBO,-22.178,24.849,1.4,1.18,1,0,1,
245.519,34.044,P218_PBO,-0.91,1.221,1.21,0.99,1,0,1,
241.354,34.059,SLID_PBO,-28.523,29.879,0.87,0.9,1,0,1,
242.734,34.063,P240_PBO,-21.669,23.495,1.54,1.75,1,0,1,
253.033,34.068,Z264_GPS,-0.824,-1.161,0.8,0.7,1,0,1,
241.558,34.069,P547_PBO,-27.226,27.771,0.86,0.89,1,0,1,
241.767,34.072,P458_PBO,-26.954,24.505,0.3,0.3,1,0,1,
242.47,34.077,P233_PBO,-23.348,25.685,1.17,1.2,1,0,1,
241.891,34.089,P251_PBO,-24.239,24.478,1.19,1.21,1,0,1,
242.647,34.089,P672_PBO,-22.069,22.249,0.96,0.99,1,0,1,
241.587,34.095,BBID_PBO,-28.377,26.224,0.566,0.572,1,0,1,
242.474,34.104,P720_PBO,-23.951,22.688,0.2,0.2,1,0,1,
241.063,34.11,P104_PBO,-29.156,30.321,0.3,0.2,1,0,1,
242.311,34.121,P238_PBO,-23.962,22.612,1.07,1.11,1,0,1,
243.63,34.124,P042_PBO,-7.045,11.662,0.2,0.2,1,0,1,
242.104,34.126,P459_PBO,-25.493,23.838,0.652,0.555,1,0,1,
241.486,34.126,P683_PBO,-27.254,28.011,0.3,0.3,1,0,1,
241.793,34.129,P541_PBO,-27.186,24.512,1.15,1.17,1,0,1,
242.246,34.133,TUF1_PBO,-24.824,23.004,0.57,0.574,1,0,1,
241.678,34.135,BBDM_PBO,-27.511,25.886,0.86,0.89,1,0,1,
242.503,34.136,P242_PBO,-22.843,21.134,1.69,1.87,1,0,1,
241.873,34.137,P448_PBO,-26.016,24.639,0.84,0.87,1,0,1,
242.274,34.137,P274_PBO,-24.367,21.493,1.21,1.2,1,0,1,
241.37,34.139,COON_PBO,-28.238,29.232,0.561,0.566,1,0,1,
256.593,34.147,Y109_GPS,-1.217,-0.346,0.5,0.5,1,0,1,
241.17,34.157,COPR_PBO,-29.142,30.306,0.86,0.89,1,0,1,
244.855,34.158,BM25_GPS,-2.556,0.639,0.589,0.572,1,0,1,
240.961,34.168,P047_PBO,-29.354,30.923,0.3,0.2,1,0,1,
242.395,34.172,P257_PBO,-22.641,23.158,1.21,1.24,1,0,1,
241.78,34.179,P457_PBO,-26.451,24.204,0.3,0.2,1,0,1,
241.438,34.179,P537_PBO,-26.753,30.876,0.99,1,1,0,1,
241.425,34.182,EOUT_PBO,-27.367,28.474,0.577,0.581,1,0,1,
241.723,34.185,FGST_PBO,-27.119,24.555,0.86,0.89,1,0,1,
242.684,34.187,P012_PBO,-18.247,17.384,0.5,0.8,1,0,1,
245.401,34.189,FORK_GGE,-3.637,0.42,0.4,0.4,1,0,1,
241.457,34.202,P017_PBO,-26.457,30.475,0.99,1,1,0,1,
242.496,34.212,P254_PBO,-20.773,20.564,1.08,1.09,1,0,1,
243.463,34.217,P036_PBO,-8.943,13.165,1.1,1.1,1,0,1,
241.324,34.236,P227_PBO,-27.485,30.34,0.88,0.91,1,0,1,
242.035,34.244,OFW2_PBO,-24.847,22.398,0.6,1.1,1,0,1,
241.163,34.248,P105_PBO,-28.469,30.023,0.592,0.618,1,0,1,
243.947,34.251,NLIB_PBO,-3.74,4.454,0.2,0.2,1,0,1,
241.476,34.254,SUTB_PBO,-27.004,26.394,0.9,0.93,1,0,1,
243.721,34.255,P044_PBO,-5.921,5.183,0.707,0.629,1,0,1,
241.359,34.257,P171_PBO,-27.81,29.939,0.84,0.87,1,0,1,
241.489,34.258,P267_PBO,-24.993,26.514,1.11,1.16,1,0,1,
249.991,34.264,HOLD_GPS,-1.722,-0.188,0.5,0.4,1,0,1,
243.116,34.264,RG15_PBO,-12.942,14.774,0.3,0.3,1,0,1,
243.567,34.267,P041_PBO,-6.004,10.248,0.698,0.7,1,0,1,
240.762,34.276,GNPS_PBO,-31.052,29.428,0.2,0.5,1,0,1,
242.708,34.281,P427_PBO,-17.73,19.046,0.95,0.98,1,0,1,
241.812,34.293,P101_PBO,-25.647,23.304,0.3,0.3,1,0,1,
241.515,34.293,P088_PBO,-26.401,24.246,0.561,0.566,1,0,1,
241.122,34.296,P045_PBO,-28.916,29.444,0.594,0.598,1,0,1,
251.881,34.301,P439_PBO,-0.892,-0.221,0.405,0.405,1,0,1,
242.681,34.305,P011_PBO,-16.743,16.384,0.3,0.4,1,0,1,
245.811,34.309,TTAP_GPS,-2.332,2.911,0.2,0.2,1,0,1,
240.936,34.32,P100_PBO,-29.249,30.324,0.3,0.3,1,0,1,
240.858,34.327,FOOT_PBO,-28.889,29.202,0.656,0.64,1,0,1,
241.399,34.33,P226_PBO,-30.291,24.067,1.25,1.28,1,0,1,
241.399,34.331,P348_PBO,-28.021,26.197,0.81,0.84,1,0,1,
241.974,34.333,P208_PBO,-24.406,22.685,0.84,0.88,1,0,1,
242.549,34.347,P705_PBO,-17.718,18.752,0.91,0.94,1,0,1,
241.589,34.353,LKCP_PBO,-26.28,24.49,0.87,0.9,1,0,1,
241.116,34.356,P681_PBO,-28.247,28.82,0.3,0.3,1,0,1,
242.395,34.362,SEAT_PBO,-17.32,22.048,1.84,1.6,1,0,1,
243.917,34.367,DUBO_PBO,-2.836,4.355,0.2,0.2,1,0,1,
244.082,34.37,GOGA_PBO,-2.935,2.651,0.3,0.2,1,0,1,
242.322,34.382,TIVA_GLA,-20.099,19.628,0.721,0.721,1,0,1,
240.992,34.399,CEDA_PBO,-28.046,26.022,1.3,1.4,1,0,1,
240.629,34.408,P623_PBO,-29.647,27.031,0.2,0.3,1,0,1,
242.14,34.413,P349_PBO,-22.189,20.598,1.11,1.14,1,0,1,
240.12,34.415,P510_PBO,-30.649,29.242,0.3,0.2,1,0,1,
244.236,34.426,NRC1_PBO,-3.533,0.848,1.1,1.1,1,0,1,
243.695,34.428,RG13_PBO,-5.735,7.86,0.2,0.3,1,0,1,
243.851,34.43,WMOK_PBO,-2.934,4.156,0.3,0.2,1,0,1,
240.99,34.44,P230_PBO,-29.341,26.294,1.26,1.28,1,0,1,
240.812,34.441,P354_PBO,-28.446,25.027,0.3,0.3,1,0,1,
242.932,34.454,P687_PBO,-15.45,15.068,1.19,0.99,1,0,1,
242.155,34.458,TRND_GPS,-18.278,21.088,0.698,0.698,1,0,1,
241.245,34.46,P122_PBO,-26.543,23.517,0.3,0.4,1,0,1,
243.12,34.462,RG10_PBO,-12.235,11.773,0.5,0.5,1,0,1,
242.606,34.462,P715_PBO,-15.158,14.848,0.682,0.687,1,0,1,
242.846,34.468,P702_PBO,-14.664,14.281,1.01,1.03,1,0,1,
239.318,34.469,P271_PBO,-32.739,34.162,0.85,0.9,1,0,1,
239.867,34.483,P497_PBO,-31.648,33.648,0.2,0.3,1,0,1,
242.235,34.493,P178_PBO,-15.78,18.175,1.35,1.05,1,0,1,
240.286,34.494,P216_PBO,-30.698,30.462,0.96,0.96,1,0,1,
240.859,34.499,P010_PBO,-27.543,23.625,0.3,0.3,1,0,1,
240.28,34.5,P005_PBO,-31.831,30.441,0.656,0.642,1,0,1,
239.801,34.502,P380_PBO,-29.833,33.182,1.03,0.98,1,0,1,
241.879,34.502,P689_PBO,-22.268,20.548,1.12,1.15,1,0,1,
242.077,34.508,P461_PBO,-16.703,18.59,0.57,0.619,1,0,1,
243.852,34.509,KVTX_PBO,-3.431,3.256,0.2,0.3,1,0,1,
242.271,34.51,STMB_PBO,-15.637,16.293,0.5,0.5,1,0,1,
241.387,34.517,P124_PBO,-25.611,21.425,0.606,0.61,1,0,1,
243.708,34.533,MDO1_PBO,-6.431,5.86,0.2,0.2,1,0,1,
242.719,34.535,P051_PBO,-13.834,13.383,0.7,0.5,1,0,1,
242.758,34.537,P060_PBO,-14.413,14.774,1,1.05,1,0,1,
240.816,34.541,P081_PBO,-28.342,24.126,0.3,0.5,1,0,1,
239.384,34.556,OPCX_PBO,-32.538,34.83,0.355,0.359,1,0,1,
240.736,34.566,P266_PBO,-29.5,25.324,1.29,1.17,1,0,1,
241.259,34.569,P231_PBO,-24.969,21.394,0.514,0.494,1,0,1,
239.373,34.571,P210_PBO,-29.703,36.709,1.32,1.23,1,0,1,
240.018,34.582,P508_PBO,-32.544,32.745,0.9,0.5,1,0,1,
239.383,34.593,P215_PBO,-31.057,35.479,1.35,1.23,1,0,1,
243.571,34.594,P037_PBO,-8.129,7.763,0.2,0.2,1,0,1,
240.674,34.6,ECHO_PBO,-29.241,21.43,1.7,1.7,1,0,1,
254.816,34.601,YAMB_GPS,-1.402,-0.103,0.5,0.5,1,0,1,
242.612,34.607,BLW2_PBO,-14.391,15.547,0.552,0.557,1,0,1,
242.89,34.621,RG20_PBO,-13.131,13.479,0.3,0.3,1,0,1,
241.755,34.629,P272_PBO,-19.131,19.353,1.15,1.17,1,0,1,
242.77,34.63,P421_PBO,-12.928,14.004,1.12,1.17,1,0,1,
242.569,34.635,P181_PBO,-14.071,14.932,1.76,1.81,1,0,1,
240.7,34.636,P212_PBO,-27.65,24.475,0.97,0.95,1,0,1,
242.172,34.64,WEIR_PBO,-14.233,15.395,0.2,0.3,1,0,1,
243.375,34.644,RG04_PBO,-10.928,8.768,0.3,0.2,1,0,1,
243.068,34.669,SC01_PBO,-11.928,11.875,0.2,0.2,1,0,1,
243.185,34.675,P034_PBO,-11.528,10.872,0.2,0.2,1,0,1,
240.647,34.683,HLID_PBO,-28.787,24.343,0.644,0.634,1,0,1,
