lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
85.538,38.081,JB46_GPS,14.647,1.356,1,1,0,0,1,
85.54,38.08,JB46_GPS,14.366,3.226,1,1,0,0,1,
85.74,29.59,SHOT_GPS,29.833,15.049,4.01,3.39,0,0,1,
85.741,29.591,SHOT_GPS,30.075,15.795,3.96,3.38,0,0,1,
85.88,27.91,GUMB_GPS,30.264,23.554,1.1,0.6,0,0,1,
85.924,26.711,JANK_GPS,30.152,30.372,4.55,2.27,0,0,1,
86.023,28.294,NYLM_GPS,28.657,19.227,1.64,1.21,0,0,1,
86.033,28.302,NLYM_GPS,28.104,17.971,1.77,1.27,0,0,1,
86.169,41.707,KORL_GPS,16.898,2.461,1.17,0.96,0,0,1,
86.19,41.79,JB45_GPS,16.785,2.281,1,1,0,0,1,
86.23,27.635,JIRI_GPS,25.686,23.926,3.37,1.98,0,0,1,
86.34,28.783,GUCO_GPS,32.143,17.661,3.97,3.36,0,0,1,
86.715,27.803,NAMC_GPS,31.417,20.048,1.82,1.19,0,0,1,
86.726,27.686,LUKL_GPS,28.768,21.729,5.26,2.4,0,0,1,
86.827,28.194,RONG_GPS,27.068,21.093,1.46,1.01,0,0,1,
86.967,28.392,JB54_GPS,27.074,16.72,1.3,1,0,0,1,
86.97,28.39,JB54_GPS,27.574,17.047,1.1,1,0,0,1,
86.977,38.508,I035_GPS,13.699,-0.98,1.3,1.2,0,0,1,
87.155,28.629,TING_GPS,24.702,19.479,1.59,1.04,0,0,1,
87.194,40.835,I032_GPS,16.482,2.33,1.2,1.1,0,0,1,
87.205,27.38,KHAN_GPS,28.669,25.02,4.5,2.04,0,0,1,
87.206,27.38,KHAN_GPS,28.969,26.011,4.46,2,0,0,1,
87.264,26.484,BIRA_GPS,31.278,31.624,2.93,1.68,0,0,1,
87.576,29.117,LAZE_GPS,31.075,18.279,1.5,1.08,0,0,1,
87.577,29.118,LAZE_GPS,31.497,19.459,1.35,1.01,0,0,1,
87.6,43.81,URUM_GPS,15.374,1.802,1,1,0,0,1,
87.705,43.813,URUM_GPS,15.024,0.959,1.28,1.17,0,0,1,
87.765,31.89,NYMA_GPS,29.891,12.084,3.37,3.16,0,0,1,
87.766,31.891,JB53_GPS,29.668,11.958,1.1,1,0,0,1,
