lon,lat,east_vel,north_vel,up_vel,east_sig,north_sig,up_sig,corr,other,flag,east_adjust,north_adjust,up_adjust,name,block_label,other1
26.7847,40.5107,-14.606,-5.0459,23.5586,0.8793,2.0,0.8593,0.0,0.0,1,0,0,0,name,0,
36.8348,40.8444,-0.6817,2.6163,-8.165,0.5634,2.0,0.4779,0.0,0.0,1,0,0,0,name,0,
38.4301,39.9696,-18.2233,6.9425,5.5551,0.81,2.0,0.7609,0.0,0.0,1,0,0,0,name,0,
26.8658,40.5738,-12.5654,-4.4838,2.3373,0.763,2.0,0.7449,0.0,0.0,1,0,0,0,name,0,
39.4667,40.1499,1.5949,2.6472,0.4937,0.5558,2.0,0.5485,0.0,0.0,1,0,0,0,name,0,
40.5934,38.0665,-6.8507,18.7549,2.5715,0.7378,2.0,0.6387,0.0,0.0,1,0,0,0,name,0,
29.7411,40.8083,-5.7734,0.3687,3.6296,0.7209,2.0,0.7069,0.0,0.0,1,0,0,0,name,0,
34.5453,40.3844,-19.6136,4.486,0.0607,0.7395,2.0,0.6705,0.0,0.0,1,0,0,0,name,0,
38.8898,40.3484,0.4362,1.0749,1.0863,0.4358,2.0,0.4327,0.0,0.0,1,0,0,0,name,0,
29.8312,40.6731,-13.9618,-0.0508,-1.0145,0.7524,2.0,0.7027,0.0,0.0,1,0,0,0,name,0,
30.5884,40.628,-15.83,-1.3554,0.009,0.7173,2.0,0.703,0.0,0.0,1,0,0,0,name,0,
38.5203,40.1229,-10.6758,3.8461,-7.8472,0.6632,2.0,0.5792,0.0,0.0,1,0,0,0,name,0,
36.1587,40.4295,-17.6138,7.9627,1.7213,0.623,2.0,0.5401,0.0,0.0,1,0,0,0,name,0,
36.6815,40.6009,-17.3614,5.9003,0.7951,0.5363,2.0,0.4759,0.0,0.0,1,0,0,0,name,0,
35.4737,41.0428,-9.5122,3.6649,-1.4813,0.6133,2.0,0.6118,0.0,0.0,1,0,0,0,name,0,
35.7351,40.4386,-20.1541,7.9889,-1.1316,0.6417,2.0,0.6201,0.0,0.0,1,0,0,0,name,0,
39.4036,39.717,-14.5905,5.5263,3.0547,0.5997,2.0,0.5712,0.0,0.0,1,0,0,0,name,0,
36.4832,40.6821,-13.3595,5.4715,2.2002,0.6746,2.0,0.5732,0.0,0.0,1,0,0,0,name,0,
39.0701,40.5287,4.1325,0.8865,-4.0497,0.6777,2.0,0.6569,0.0,0.0,1,0,0,0,name,0,
40.6745,40.4476,-7.0352,3.5229,14.2659,0.6751,2.0,0.6252,0.0,0.0,1,0,0,0,name,0,
31.3996,39.708,-23.5669,-0.1494,2.2088,0.6037,2.0,0.5707,0.0,0.0,1,0,0,0,name,0,
30.9219,40.5829,-16.9442,-1.25,0.7821,0.8642,2.0,0.8682,0.0,0.0,1,0,0,0,name,0,
34.8788,41.0879,-12.6716,2.7435,-4.1968,0.7264,2.0,0.7156,0.0,0.0,1,0,0,0,name,0,
34.2929,41.4216,0.7988,0.5997,-1.4943,0.5989,2.0,0.5422,0.0,0.0,1,0,0,0,name,0,
31.6249,39.7621,-23.2025,-0.3326,2.9694,0.6145,2.0,0.5796,0.0,0.0,1,0,0,0,name,0,
30.6695,39.6809,-23.923,-1.388,3.0137,0.5324,2.0,0.4769,0.0,0.0,1,0,0,0,name,0,
37.3395,40.1499,-18.9134,8.4152,5.214,0.5784,2.0,0.5506,0.0,0.0,1,0,0,0,name,0,
33.4096,40.8534,-17.7867,0.9898,-1.8058,0.743,2.0,0.7439,0.0,0.0,1,0,0,0,name,0,
39.5388,39.7802,-12.1326,4.3646,4.3817,0.48,2.0,0.4595,0.0,0.0,1,0,0,0,name,0,
31.5799,40.5558,-19.2527,-1.4241,0.298,0.812,2.0,0.7893,0.0,0.0,1,0,0,0,name,0,
37.8893,40.2672,-7.3585,6.8525,7.2029,0.6651,2.0,0.6412,0.0,0.0,1,0,0,0,name,0,
30.8227,40.5648,-17.0253,-1.1909,-2.8935,0.9771,2.0,0.9805,0.0,0.0,1,0,0,0,name,0,
33.9594,38.0124,-18.4252,6.0874,8.1876,0.5765,2.0,0.5406,0.0,0.0,1,0,0,0,name,0,
36.4832,40.6099,-14.248,6.174,-5.7169,0.6758,2.0,0.5307,0.0,0.0,1,0,0,0,name,0,
38.1868,39.3563,-17.8942,12.1906,8.309,0.7835,2.0,0.6823,0.0,0.0,1,0,0,0,name,0,
36.9519,40.3574,-17.7777,8.0347,2.3407,0.5156,2.0,0.4434,0.0,0.0,1,0,0,0,name,0,
32.8688,40.8985,-15.8706,-0.0844,4.2088,0.5804,2.0,0.5389,0.0,0.0,1,0,0,0,name,0,
32.4091,40.655,-20.7094,-0.6519,3.2215,0.9034,2.0,0.843,0.0,0.0,1,0,0,0,name,0,
34.2569,41.106,-9.3596,1.9071,3.2222,0.59,2.0,0.519,0.0,0.0,1,0,0,0,name,0,
37.4567,40.4656,-9.6733,6.539,-1.4919,0.6089,2.0,0.5806,0.0,0.0,1,0,0,0,name,0,
32.8327,40.8895,-16.099,-0.1068,1.9555,0.582,2.0,0.5416,0.0,0.0,1,0,0,0,name,0,
32.0756,40.8354,-5.9575,-0.5164,8.4192,0.8516,2.0,0.7163,0.0,0.0,1,0,0,0,name,0,
34.2839,41.0158,-10.4567,2.3418,0.767,0.5756,2.0,0.5116,0.0,0.0,1,0,0,0,name,0,
35.4917,41.2954,4.8536,1.5673,0.4309,0.7603,2.0,0.6718,0.0,0.0,1,0,0,0,name,0,
31.8232,40.7272,-16.6661,-1.1012,-2.1903,0.664,2.0,0.6007,0.0,0.0,1,0,0,0,name,0,
38.98,40.0598,-3.426,4.2145,-10.5611,0.7642,2.0,0.7274,0.0,0.0,1,0,0,0,name,0,
36.4922,40.8083,-8.7381,4.3027,1.4754,0.677,2.0,0.5765,0.0,0.0,1,0,0,0,name,0,
30.6425,40.7632,-5.3893,-1.249,-2.8476,0.8915,2.0,0.8851,0.0,0.0,1,0,0,0,name,0,
36.6455,40.7091,-9.212,4.7204,-9.5425,0.6464,2.0,0.5794,0.0,0.0,1,0,0,0,name,0,
27.8393,38.1747,-21.774,-14.332,-22.1842,0.7911,2.0,0.7295,0.0,0.0,1,0,0,0,name,0,
39.638,39.7351,-16.009,4.9943,4.8364,0.5698,2.0,0.5406,0.0,0.0,1,0,0,0,name,0,
26.8478,40.2943,-17.0723,-6.6016,5.2568,0.8102,2.0,0.7535,0.0,0.0,1,0,0,0,name,0,
27.3976,40.2762,-19.6508,-5.896,1.5609,0.6751,2.0,0.651,0.0,0.0,1,0,0,0,name,0,
35.014,39.1669,-17.9017,7.9753,-12.0018,0.5926,2.0,0.5852,0.0,0.0,1,0,0,0,name,0,
35.005,38.4453,-18.1969,8.7471,1.6524,0.4452,2.0,0.4211,0.0,0.0,1,0,0,0,name,0,
29.7772,40.8264,-10.4129,0.3004,-1.908,0.6679,2.0,0.6078,0.0,0.0,1,0,0,0,name,0,
37.1683,39.4104,-18.9373,10.3193,1.0467,0.6833,2.0,0.633,0.0,0.0,1,0,0,0,name,0,
37.2133,40.4025,-11.0894,7.3288,6.4491,0.5653,2.0,0.5057,0.0,0.0,1,0,0,0,name,0,
37.3936,40.4025,-11.5424,7.2479,1.9109,0.6244,2.0,0.6002,0.0,0.0,1,0,0,0,name,0,
36.7356,40.5919,-14.8701,5.9087,0.737,0.5263,2.0,0.4735,0.0,0.0,1,0,0,0,name,0,
34.0946,41.0428,-11.9281,2.0074,7.9565,0.6746,2.0,0.6077,0.0,0.0,1,0,0,0,name,0,
26.2799,39.699,-19.7805,-9.6172,2.3737,0.8683,2.0,0.8114,0.0,0.0,1,0,0,0,name,0,
35.1222,41.5569,4.04,-0.0159,1.1793,0.7628,2.0,0.7432,0.0,0.0,1,0,0,0,name,0,
34.8878,40.7542,-16.6196,4.7205,5.2009,0.5105,2.0,0.4608,0.0,0.0,1,0,0,0,name,0,
30.0386,39.4194,-24.6471,-4.1165,-6.2012,0.8458,2.0,0.7768,0.0,0.0,1,0,0,0,name,0,
37.1773,40.4386,-12.4818,7.0445,1.1666,0.5494,2.0,0.4749,0.0,0.0,1,0,0,0,name,0,
38.8358,40.0778,-11.6438,4.0641,-5.2371,0.7779,2.0,0.6828,0.0,0.0,1,0,0,0,name,0,
31.9675,38.8331,-25.902,0.11,-2.7604,0.6725,2.0,0.587,0.0,0.0,1,0,0,0,name,0,
38.5924,40.177,-8.657,2.6312,-3.6035,0.5043,2.0,0.4874,0.0,0.0,1,0,0,0,name,0,
29.9845,40.6821,-15.9396,-0.4243,0.7914,0.7084,2.0,0.6616,0.0,0.0,1,0,0,0,name,0,
39.8272,39.8433,-12.808,4.0722,-8.6247,0.6644,2.0,0.6298,0.0,0.0,1,0,0,0,name,0,
31.2464,40.4837,-21.1059,-1.4982,2.533,0.697,2.0,0.684,0.0,0.0,1,0,0,0,name,0,
27.1723,40.8264,-7.5402,-3.2097,-10.838,0.7462,2.0,0.7348,0.0,0.0,1,0,0,0,name,0,
39.0611,39.8884,-5.9915,5.9068,5.9984,0.9297,2.0,0.7357,0.0,0.0,1,0,0,0,name,0,
26.7036,41.0428,0.9692,-1.7225,-7.0234,0.8439,2.0,0.8138,0.0,0.0,1,0,0,0,name,0,
32.7967,40.8625,-19.7109,-0.161,4.2493,0.5604,2.0,0.5127,0.0,0.0,1,0,0,0,name,0,
38.2228,40.159,-1.7004,5.5027,-4.8348,1.0257,2.0,0.7952,0.0,0.0,1,0,0,0,name,0,
30.6785,40.5738,-20.1021,-1.2303,-0.7849,0.6868,2.0,0.679,0.0,0.0,1,0,0,0,name,0,
35.4827,40.4025,-17.7634,7.187,-1.6385,0.7108,2.0,0.6805,0.0,0.0,1,0,0,0,name,0,
26.9559,40.7001,-10.2132,-3.5698,-1.6171,0.757,2.0,0.7387,0.0,0.0,1,0,0,0,name,0,
