lons,lats,locking_depth,dip
37.859972,40.268103,15.0,90.0
37.87292,40.269121,15.0,90.0
37.886306,40.265614,15.0,90.0
37.903027,40.258036,15.0,90.0
37.929466,40.248733,15.0,90.0
37.964908,40.235994,15.0,90.0
37.991681,40.227582,15.0,90.0
38.015091,40.216629,15.0,90.0
38.041169,40.205931,15.0,90.0
38.082085,40.193704,15.0,90.0
38.109329,40.182242,15.0,90.0
38.144074,40.169602,15.0,90.0
38.212163,40.148043,15.0,90.0
38.277651,40.130664,15.0,90.0
38.429967,40.079368,15.0,90.0
38.484011,40.068002,15.0,90.0
38.528219,40.056125,15.0,90.0
38.573843,40.046291,15.0,90.0
38.601491,40.040097,15.0,90.0
38.624136,40.032883,15.0,90.0
38.657577,40.026434,15.0,90.0
38.697354,40.016665,15.0,90.0
38.738297,40.007343,15.0,90.0
38.771155,40.003895,15.0,90.0
38.820822,39.992978,15.0,90.0
38.86999,39.982828,15.0,90.0
38.937581,39.973699,15.0,90.0
38.999503,39.958182,15.0,90.0
39.059991,39.940954,15.0,90.0
39.100156,39.923902,15.0,90.0
39.147656,39.911709,15.0,90.0
39.268999,39.871337,15.0,90.0
39.375677,39.831321,15.0,90.0
39.389323,39.813072,15.0,90.0
39.419993,39.804217,15.0,90.0
39.455666,39.791777,15.0,90.0
39.520842,39.768176,15.0,90.0
39.571097,39.750471,15.0,90.0
39.616231,39.729311,15.0,90.0
39.636023,39.721741,15.0,90.0
39.755818,39.661532,15.0,90.0
39.820352,39.632576,15.0,90.0
39.849141,39.618098,15.0,90.0
39.875612,39.601323,15.0,90.0
39.895439,39.592363,15.0,90.0
39.919076,39.585444,15.0,90.0
39.964859,39.57403,15.0,90.0
39.985349,39.568292,15.0,90.0
40.004017,39.56217,15.0,90.0
40.026577,39.553814,15.0,90.0
40.041353,39.547628,15.0,90.0
40.063603,39.541267,15.0,90.0
40.074976,39.536106,15.0,90.0
40.083037,39.544484,15.0,90.0
40.094541,39.54069,15.0,90.0
40.103271,39.536385,15.0,90.0
40.110779,39.532687,15.0,90.0
40.123421,39.527776,15.0,90.0
40.140084,39.521396,15.0,90.0
40.163971,39.51375,15.0,90.0
40.214283,39.504566,15.0,90.0
40.277297,39.49836,15.0,90.0
40.289341,39.512682,15.0,90.0
40.290397,39.498996,15.0,90.0
40.336562,39.497255,15.0,90.0
40.383783,39.483855,15.0,90.0
40.412944,39.474384,15.0,90.0
40.470837,39.452239,15.0,90.0
40.514812,39.434986,15.0,90.0
40.533502,39.430667,15.0,90.0
40.540103,39.438316,15.0,90.0
40.552171,39.427253,15.0,90.0
40.565627,39.416956,15.0,90.0
40.604455,39.394289,15.0,90.0
40.625348,39.383331,15.0,90.0
40.642915,39.379242,15.0,90.0
40.661168,39.375596,15.0,90.0
40.679117,39.374341,15.0,90.0
40.694256,39.374605,15.0,90.0
40.703464,39.376278,15.0,90.0
40.727133,39.380412,15.0,90.0
40.736904,39.381709,15.0,90.0
40.75718,39.382901,15.0,90.0
40.776071,39.387628,15.0,90.0
40.789339,39.385981,15.0,90.0
40.827309,39.391929,15.0,90.0
40.87381,39.390357,15.0,90.0
40.903783,39.388372,15.0,90.0
40.957348,39.380207,15.0,90.0
41.020557,39.367571,15.0,90.0
41.059567,39.356716,15.0,90.0
41.093802,39.349737,15.0,90.0
41.158091,39.331342,15.0,90.0
41.227033,39.305603,15.0,90.0
41.260648,39.286475,15.0,90.0
41.364781,39.228328,15.0,90.0
41.38914,39.213897,15.0,90.0
41.410155,39.199463,15.0,90.0
41.44836,39.173546,15.0,90.0
41.479413,39.149108,15.0,90.0
41.499924,39.139514,15.0,90.0
