other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,
0,0,0,0,0,0,"MANA                    ",174.5,-40.625,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"MARA                    ",288.081,9.373,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"MO_indo                 ",138.357,-3.454,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Makassar                ",120.93,-4.924,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Makran2Zagros           ",56.488,28.887,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Manado                  ",124.141,1.398,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Maoke                   ",135.348,-2.379,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Maracaibo               ",288.294,8.554,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Marianas                ",145.678,17.239,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Marmara                 ",25.421,39.693,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Marmara_sliver          ",28.235,40.219,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Maturin                 ",296.558,9.985,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Menderes                ",26.879,38.059,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Metzger                 ",341.974,66.323,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"MohawkValley            ",239.582,39.925,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"MojaveEasternMost       ",243.724,34.942,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"MolucaSea               ",127.602,0.12,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Mongolia                ",102.094,47.133,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Mongolia_Altai          ",91.744,47.753,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Motagua_polochic        ",269.707,15.104,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Myanmar_L               ",99.714,19.401,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NAndes                  ",282.328,4.853,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NB_iran                 ",56.782,32.23,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NDR_iran                ",56.104,34.14,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NE2                     ",99.582,37.192,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NHIS                    ",286.479,20.171,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NW_china                ",96.863,42.091,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"N_issykul               ",79.116,43.172,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Nazca                   ",267.553,-21.835,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Nevada                  ",243.991,36.618,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"NorthAdria              ",15.949,43.073,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthAmerica            ",270.568,47.697,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthAndes_South        ",286.354,5.88,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthBismarck           ",148.113,-1.351,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthChinaPlain         ",118.084,37.053,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthCyprus             ",32.267,36.93,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthOfBNSSuture        ",95.687,34.56,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthOfChelungpo        ",120.885,24.509,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthZagros             ",47.496,33.508,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"North_Sulawesi          ",120.732,0.756,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"North_east_Tibet        ",92.452,37.264,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"NorthernAlaska          ",198.614,67.824,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthernCordillera      ",225.909,64.852,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"NorthernGreece          ",21.547,39.582,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Novi                    ",231.306,51.172,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Nubia                   ",348.426,19.64,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"OKHOTSK                 ",150.3,58.629,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"OTAG                    ",169.036,-46.187,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Okinawa                 ",122.466,24.894,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Olym                    ",235.192,47.654,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"OrBR                    ",238.867,42.537,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Ovacik                  ",39.336,38.978,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PACIFIC                 ",201.6,8.229,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PEGA                    ",174.347,-42.418,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PNG                     ",142.557,-3.774,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"POFZ                    ",172.041,-42.995,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PRVI                    ",293.403,18.486,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Panama                  ",279.921,9.643,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PanamintValley          ",242.36,36.215,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"PhilippineSea           ",132.115,15.386,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Philippines_sliver_north",124.141,14.115,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"PhipSea                 ",122.836,21.389,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"QueenCharlotte          ",223.263,59.056,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"RedSea                  ",41.069,14.31,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Rivera                  ",252.6,20.231,251.4,1,21.3,1,4.369,1,0,1,
0,0,0,0,0,0,"SCEN                    ",120.783,22.545,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SCOA                    ",148.46,-10.11,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SRPn                    ",245.546,42.687,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SUMB                    ",118.1,-9.361,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SVAN                    ",169.088,-19.213,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SWL1                    ",121.896,13.689,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"S_Kyrgyz                ",77.147,40.212,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Salton                  ",243.841,33.487,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"SanBernadino            ",243.35,34.063,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"SanDiego                ",242.924,32.384,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"SanJacinto              ",243.347,33.394,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"Scotia                  ",309.259,-57.375,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Sicily                  ",13.539,37.182,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"SierraBlock             ",240.597,36.746,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"Sinai                   ",33.878,32.34,0,0,0,0,0,0,0,0,
