lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
241.587,34.095,-0.014,22,"BBID_PBO",-28.377,26.224,0.566,0.572,1,0,1,0,0,0,
242.474,34.104,-0.013,16,"P720_PBO",-23.951,22.688,0.2,0.2,1,0,1,0,0,0,
241.063,34.11,-0.008,22,"P104_PBO",-29.156,30.321,0.3,0.2,1,0,1,0,0,0,
242.311,34.121,-0.049,16,"P238_PBO",-23.962,22.612,1.07,1.11,1,0,1,0,0,0,
243.63,34.124,-0.012,6,"P042_PBO",-7.045,11.662,0.2,0.2,1,0,1,0,0,0,
242.104,34.126,-0.007,4,"P459_PBO",-25.493,23.838,0.652,0.555,1,0,1,0,0,0,
241.486,34.126,-0.006,22,"P683_PBO",-27.254,28.011,0.3,0.3,1,0,1,0,0,0,
241.793,34.129,-0.034,22,"P541_PBO",-27.186,24.512,1.15,1.17,1,0,1,0,0,0,
242.246,34.133,-0.013,16,"TUF1_PBO",-24.824,23.004,0.57,0.574,1,0,1,0,0,0,
241.678,34.135,-0.059,22,"BBDM_PBO",-27.511,25.886,0.86,0.89,1,0,1,0,0,0,
242.503,34.136,-0.097,16,"P242_PBO",-22.843,21.134,1.69,1.87,1,0,1,0,0,0,
241.873,34.137,-0.061,22,"P448_PBO",-26.016,24.639,0.84,0.87,1,0,1,0,0,0,
242.274,34.137,-0.015,16,"P274_PBO",-24.367,21.493,1.21,1.2,1,0,1,0,0,0,
241.37,34.139,-0.01,22,"COON_PBO",-28.238,29.232,0.561,0.566,1,0,1,0,0,0,
256.593,34.147,0,1,"Y109_GPS",-1.217,-0.346,0.5,0.5,1,0,1,0,0,0,
241.17,34.157,-0.061,22,"COPR_PBO",-29.142,30.306,0.86,0.89,1,0,1,0,0,0,
244.855,34.158,-0.009,8,"BM25_GPS",-2.556,0.639,0.589,0.572,1,0,1,0,0,0,
240.961,34.168,-0.007,3,"P047_PBO",-29.354,30.923,0.3,0.2,1,0,1,0,0,0,
242.395,34.172,-0.117,16,"P257_PBO",-22.641,23.158,1.21,1.24,1,0,1,0,0,0,
241.78,34.179,-0.002,22,"P457_PBO",-26.451,24.204,0.3,0.2,1,0,1,0,0,0,
241.438,34.179,-0.044,22,"P537_PBO",-26.753,30.876,0.99,1,1,0,1,0,0,0,
241.425,34.182,-0.01,22,"EOUT_PBO",-27.367,28.474,0.577,0.581,1,0,1,0,0,0,
241.723,34.185,-0.06,22,"FGST_PBO",-27.119,24.555,0.86,0.89,1,0,1,0,0,0,
242.684,34.187,0,21,"P012_PBO",-18.247,17.384,0.5,0.8,1,0,1,0,0,0,
245.401,34.189,-0.004,8,"FORK_GGE",-3.637,0.42,0.4,0.4,1,0,1,0,0,0,
241.457,34.202,-0.043,22,"P017_PBO",-26.457,30.475,0.99,1,1,0,1,0,0,0,
242.496,34.212,-0.035,16,"P254_PBO",-20.773,20.564,1.08,1.09,1,0,1,0,0,0,
243.463,34.217,-0.003,5,"P036_PBO",-8.943,13.165,1.1,1.1,1,0,1,0,0,0,
241.324,34.236,-0.056,22,"P227_PBO",-27.485,30.34,0.88,0.91,1,0,1,0,0,0,
