lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
243.39,33.611,-18.266,22.65,0.81,0.83,-0.067,21,true,MEE1_PBO,0,1,0,0,0
243.542,33.612,-16.39,19.534,0.8,0.82,-0.068,21,true,P526_PBO,0,1,0,0,0
243.992,33.612,-8.992,7.657,1.05,1.07,-0.035,6,true,P260_PBO,0,1,0,0,0
242.197,33.618,-26.112,29.436,0.85,0.88,-0.064,4,true,MASW_PBO,0,1,0,0,0
243.32,33.619,-19.062,23.293,0.99,1.06,-0.07,21,true,CRBT_PBO,0,1,0,0,0
242.645,33.62,-25.484,28.329,1.15,1.24,-0.1,4,true,P530_PBO,0,1,0,0,0
243.538,33.62,-15.698,18.505,0.94,1,-0.066,21,true,P288_PBO,0,1,0,0,0
243.589,33.623,-18.068,19.863,1.43,1.41,-0.029,21,true,P309_PBO,0,1,0,0,0
243.84,33.628,-12.114,13.243,1.28,1.19,-0.012,21,true,P067_PBO,0,1,0,0,0
243.152,33.63,-22.225,26.429,1.05,1.12,-0.043,16,true,P531_PBO,0,1,0,0,0
242.914,33.636,-23.507,27.278,1.03,1.07,-0.055,16,true,RNCH_PBO,0,1,0,0,0
243.726,33.639,-12.678,15.897,1.05,1.08,-0.054,21,true,P285_PBO,0,1,0,0,0
244.138,33.64,-5.159,3.792,1.64,1.66,0.022,6,true,P276_PBO,0,1,0,0,0
243.41,33.646,-17.397,20.999,0.94,0.95,-0.055,21,true,P063_PBO,0,1,0,0,0
242.588,33.648,-25.666,26.886,0.2,0.2,-0.012,4,true,P709_PBO,0,1,0,0,0
244.28,33.664,-4.176,1.817,0.86,0.88,-0.059,1,true,P175_PBO,0,1,0,0,0
244.036,33.677,-7.076,4.596,1.18,1.38,-0.065,6,true,P259_PBO,0,1,0,0,0
244.757,33.681,-3.575,1.679,1.24,1.06,-0.051,1,true,P432_PBO,0,1,0,0,0
243.528,33.684,-14.991,19.665,0.97,0.97,-0.053,21,true,P576_PBO,0,1,0,0,0
243.609,33.688,-13.052,17.582,0.97,1,-0.057,21,true,P576_PBO,0,1,0,0,0
244.365,33.705,-5.858,2.745,0.2,0.3,-0.011,1,true,ALRT_PBO,0,1,0,0,0
242.465,33.709,-25.575,26.776,1.12,1.1,-0.043,4,true,REDM_PBO,0,1,0,0,0
241.706,33.713,-28.534,30.755,1.02,1.05,-0.044,3,true,P544_PBO,0,1,0,0,0
243.288,33.714,-18.236,22.384,0.96,1,-0.066,21,true,S300_PBO,0,1,0,0,0
243.701,33.714,-12.727,15.788,0.93,0.94,-0.059,21,true,P387_PBO,0,1,0,0,0
244.6,33.715,-2.082,1.145,1.03,0.96,-0.044,1,true,P442_PBO,0,1,0,0,0
243.288,33.733,-18.36,19.87,0.4,0.3,-0.011,21,true,RG11_PBO,0,1,0,0,0
243.842,33.74,-9.384,9.553,0.99,1.02,-0.047,6,true,P232_PBO,0,1,0,0,0
244.179,33.741,-6.357,2.849,0.9,1,-0.003,1,true,ALGO_PBO,0,1,0,0,0
242.091,33.748,-26.885,29.95,1.09,1.23,-0.056,4,true,QCYN_PBO,0,1,0,0,0
243.829,33.749,-8.772,10.324,0.97,0.99,-0.047,6,true,P234_PBO,0,1,0,0,0
243.719,33.75,-11.148,14.008,1.06,1.05,-0.048,21,true,P241_PBO,0,1,0,0,0
241.679,33.774,-28.881,29.721,0.587,0.596,-0.013,3,true,HEBE_PBO,0,1,0,0,0
241.628,33.779,-27.745,29.748,1.12,1.14,-0.037,3,true,P725_PBO,0,1,0,0,0
243.223,33.794,-14.893,23.407,1.03,1.06,-0.052,21,true,P255_PBO,0,1,0,0,0
242.768,33.796,-23.02,25.864,1.17,1.12,-0.042,16,true,P258_PBO,0,1,0,0,0
