lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
134.6050,34.1720,0.0020,0,960673_G,2.0670,4.1380,2.1670,2.4290,1,0,1,0,0,0,0.0000,-3699366.6484,3750728.7967,3576460.7303,10,3.8676,2.0363,-2.1017,13.1829,-1.8569,2.8328,1.8105,6.4826,-5.7036,0.0000,0.0000
134.6260,33.9270,-0.0030,0,940081_G,-3.1740,5.8830,2.6610,2.7150,1,0,1,0,0,0,0.0000,-3711450.3190,3760222.5913,3553901.2444,13,-4.9394,9.7121,3.8291,5.8562,1.1886,0.1146,-1.5888,10.6810,-6.9348,0.0000,0.0000
134.6600,34.8640,0.0070,0,960762_G,9.6380,0.6740,2.0260,2.1180,1,0,1,0,0,0,0.0000,-3672334.1168,3716178.9506,3639825.2160,10,9.0932,1.1542,0.4802,12.5780,-1.8244,0.9241,-0.0489,2.5607,-2.9296,0.0000,0.0000
134.6680,33.8300,-0.0020,0,950422_G,-6.7170,7.5300,2.4510,2.9580,1,0,1,0,0,0,0.0000,-3718430.0717,3761774.5510,3544951.5498,13,-6.5701,9.8290,2.2990,6.2155,1.3151,-0.0141,-0.8366,12.7997,-7.6774,0.0000,0.0000
134.6770,35.6210,0.0010,0,960645_G,9.3260,2.2280,2.2700,2.3110,1,0,1,0,0,0,0.0000,-3639304.4882,3680570.0850,3708533.1538,5,10.7946,0.4753,-1.7527,12.6956,-1.0145,0.1593,0.0475,1.7417,-1.5373,0.0000,0.0000
134.7290,35.4610,-0.0050,0,960646_G,9.9090,0.6870,2.7170,2.4090,1,0,1,0,0,0,0.0000,-3649917.3617,3684608.7721,3694064.5515,5,10.6768,0.6830,-0.0040,12.7736,-1.0005,0.2109,0.0312,1.8859,-1.7147,0.0000,0.0000
134.7350,34.3340,-0.0100,0,950362_G,5.3640,2.4030,2.2860,2.3220,1,0,1,0,0,0,0.0000,-3700735.1805,3735127.2003,3591341.7245,10,4.6964,2.6894,0.2864,13.0394,-1.7800,3.4179,0.3352,4.9252,-4.8046,0.0000,0.0000
134.7370,34.2240,0.0070,0,950363_G,3.3920,2.9980,2.2290,2.5090,1,0,1,0,0,0,0.0000,-3705711.7221,3739888.8766,3581240.4673,10,3.8183,2.5839,-0.4141,13.1353,-1.7788,3.3147,0.9820,6.0023,-5.3447,0.0000,0.0000
134.7670,34.9850,-0.0350,0,950347_G,9.2600,1.0350,2.1940,2.1050,1,0,1,0,0,0,0.0000,-3673846.2702,3703848.6965,3650850.5691,10,9.2352,0.8711,-0.1639,12.4703,-1.7610,0.7704,-0.1183,2.4647,-2.5138,0.0000,0.0000
134.7710,35.1630,0.0050,0,960648_G,10.7950,-1.4160,2.4790,2.2590,1,0,1,0,0,0,0.0000,-3666099.2016,3695522.3165,3667040.0752,10,9.6433,0.4385,1.8545,12.3145,-1.7587,0.4516,-0.0455,2.2196,-2.1517,0.0000,0.0000
