name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
arctic2a                    ,162.6460,56.3870,164.8730,58.6880,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,288857.8200,-3364440.5478,1051386.0833,5302780.2675,-3194485.8409,863553.5977,5440026.3655,163.7595,57.5375,163.7244,57.5425,-3280293.5085,957708.0321,5372785.2446,-3280293.5085,957708.0321,7.5000,163.7244,57.5425,7,2,-0.2994,0.0000,4.6370,0.4740,0.4740,0.4740
arctic2b                    ,164.8730,58.6880,170.6340,62.1560,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,499642.6927,-3194485.8409,863553.5977,5440026.3655,-2934368.8316,483992.7734,5630238.1847,167.7535,60.4220,167.6000,60.4533,-3066748.8783,674269.5363,5539382.9414,-3066748.8783,674269.5363,7.5000,167.6000,60.4533,7,2,0.2541,0.0000,3.4548,0.4363,0.4363,0.4363
arctic3                     ,154.0210,61.5750,170.6340,62.1560,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,874300.6430,-2724690.6526,1327684.4324,5599791.6352,-2934368.8316,483992.7734,5630238.1847,162.3275,61.8655,162.2483,62.1164,-2836120.6604,907942.1370,5628180.1799,-2836120.6604,907942.1370,7.5000,162.2483,62.1164,2,7,-1.9784,0.0000,-2.9733,0.4864,0.4864,0.4864
arctic_1                    ,79.5300,70.2610,139.5790,70.5180,90.0000,100,0,0,0,0,0,0,0,0,0.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,2159008.2302,390793.0999,2114709.7387,5993299.1695,-1616706.5162,1376947.1621,6002884.9743,109.5545,70.3895,109.3462,72.8575,-621738.4599,1770825.2265,6084568.2481,-621738.4599,1770825.2265,0.0000,109.3462,72.8575,6,4,2.7140,0.0000,69.8933,92.4918,92.4918,92.4918
asddf                       ,140.4970,42.2200,140.8080,42.3750,90.0000,100,0,0,0,0,0,0,0,0,5.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,30889.4863,-3645712.4892,2972523.0142,4291531.0598,-3638468.7422,2999642.1537,4278789.9718,140.6525,42.2975,140.6523,42.2976,-3642101.2698,2986091.2443,4285173.1451,-3642101.2698,2986091.2443,-5.0000,140.6523,42.2976,0,8,5.8185,0.0000,-1.8982,0.8173,0.8173,0.8173
asdf                        ,139.5980,39.4190,139.6000,40.0200,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,66728.7990,-3745893.9290,3188231.0897,4043242.8387,-3713501.8926,3160437.8340,4094616.9360,139.5990,39.7195,139.5990,39.7195,-3729748.7873,3174377.7608,4068986.5172,-3729748.7873,3174377.7608,0.0000,139.5990,39.7195,9,1,-0.0855,0.0000,-1.2208,0.9516,0.9516,0.9516
asdf                        ,131.2360,33.2080,131.2630,33.4120,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,22764.9189,-3505404.3313,3995318.5359,3506268.9189,-3511727.9288,4006332.5781,3487322.4241,131.2495,33.3100,131.2495,33.3100,-3508571.7291,4000831.9312,3496801.3586,-3508571.7291,4000831.9312,0.0000,131.2495,33.3100,5,10,-1.8723,0.0000,0.3655,0.6782,0.6782,0.6782
atotsugawaa                 ,136.8980,36.2110,136.9750,36.2540,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,8407.3110,-3751124.8876,3510486.1946,3761635.3114,-3753774.3695,3503514.6554,3765489.9420,136.9365,36.2325,136.9365,36.2325,-3752450.4436,3507001.1811,3763563.4504,-3752450.4436,3507001.1811,0.0000,136.9365,36.2325,5,11,-10.5067,0.0000,-11.9873,1.2285,1.2285,1.2285
atotsugawabaa               ,136.9750,36.2540,137.0970,36.3030,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,12235.6324,-3753774.3695,3503514.6554,3765489.9420,-3758865.6331,3493320.2811,3769879.8425,137.0360,36.2785,137.0360,36.2785,-3756321.7276,3498419.0659,3767686.6350,-3756321.7276,3498419.0659,0.0000,137.0360,36.2785,5,11,-12.1092,0.0000,-10.6227,1.1326,1.1326,1.1326
atotsugawabab               ,137.0970,36.3030,137.2670,36.3710,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,17025.7388,-3758865.6331,3493320.2811,3769879.8425,-3765924.9140,3479113.5862,3775967.3804,137.1820,36.3370,137.1820,36.3370,-3762398.6214,3486220.0161,3772926.9903,-3762398.6214,3486220.0161,0.0000,137.1820,36.3370,5,11,-12.1048,0.0000,-10.9695,1.1330,1.1330,1.1330
atotsugawabba               ,137.2670,36.3710,137.5370,36.4660,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,26410.0782,-3765924.9140,3479113.5862,3775967.3804,-3777654.1090,3457097.0159,3784463.1214,137.4020,36.4185,137.4019,36.4186,-3771797.5838,3468112.6799,3780223.3914,-3771797.5838,3468112.6799,0.0000,137.4019,36.4186,5,11,-12.6033,0.0000,-10.9111,1.1188,1.1188,1.1188
atotsugawabbb               ,137.5370,36.4660,137.8430,36.5620,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,29407.3080,-3777654.1090,3457097.0159,3784463.1214,-3791357.5793,3432611.8345,3793037.7221,137.6900,36.5140,137.6899,36.5141,-3784515.8826,3444863.5131,3788760.5323,-3784515.8826,3444863.5131,0.0000,137.6899,36.5141,5,11,-13.0068,0.0000,-11.0918,1.1199,1.1199,1.1199
aus-pac2                    ,158.7000,-59.8000,185.8400,-15.1800,90.0000,100,0,0,0,0,0,0,0,0,0.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,5423522.6676,-6113377.0275,-625286.4777,-1667330.0819,-2984161.9748,1163476.1359,-5503221.9700,172.2700,-37.4900,176.6013,-38.2398,-4992370.0037,296489.6344,-3941153.0172,-4992370.0037,296489.6344,-7.5000,176.6013,-38.2398,6,3,-2.2709,0.0000,-3.0959,136.7043,136.7043,136.7043
beppu-schina                ,129.3370,31.8610,129.5840,32.3240,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,56387.7541,-3428649.9260,4146883.0781,3404713.1866,-3428069.5014,4182768.6276,3361121.4739,129.4605,32.0925,129.4602,32.0926,-3428393.3540,4164866.4965,3382951.0103,-3428393.3540,4164866.4965,0.0000,129.4602,32.0926,12,13,-12.2086,0.0000,-3.9486,1.0417,1.0417,1.0417
beppu1a                     ,131.7940,33.3510,131.9890,33.4240,120.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,19867.8871,-3555255.2648,3950035.7862,3507382.0368,-3544766.5037,3965441.2334,3500608.1930,131.8915,33.3875,131.8915,33.3875,-3550015.1895,3957743.2830,3503999.3895,-3550015.1895,3957743.2830,0.0000,131.8915,33.3875,10,13,-6.9474,-1.6439,0.0000,0.4447,0.4447,0.4447
bsgconn                     ,128.9550,32.3760,129.8180,32.6300,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,0,0,0,85851.2469,-3380975.1306,4181867.9231,3409595.1814,-3433864.4912,4118820.3251,3433401.4107,129.3865,32.5030,129.3859,32.5037,-3407496.9398,4150437.6401,3421576.1664,-3407496.9398,4150437.6401,0.0000,129.3859,32.5037,5,12,5.8950,0.0000,4.6630,0.5342,0.5342,0.5342
c-nhonshu1                  ,139.8790,36.8500,139.8990,36.9910,135.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,15748.7899,-3896287.2148,3283419.9420,3818697.5379,-3890233.0794,3275996.4800,3831225.0145,139.8890,36.9205,139.8890,36.9205,-3893263.1130,3279710.7049,3824964.2464,-3893263.1130,3279710.7049,0.0000,139.8890,36.9205,1,8,2.0023,5.4632,0.0000,0.3837,0.3837,0.3837
