,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
57,eastern-mtlbbaba            ,135.602,34.345,135.693,34.375,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,135.6475,34.36
58,eastern-mtlbbabb            ,135.693,34.375,135.915,34.503,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,135.804,34.439
59,eastern-mtlbbbaaa           ,135.915,34.503,135.997,34.548,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,135.95600000000002,34.5255
60,eastern-mtlbbbaab           ,135.997,34.548,136.107,34.632,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.05200000000002,34.59
61,eastern-mtlbbbab            ,136.107,34.632,136.221,34.696,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.164,34.664
62,eastern-mtlbbbbaaa          ,136.221,34.696,136.376,34.754,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.2985,34.724999999999994
63,eastern-mtlbbbbaab          ,136.376,34.754,136.55,34.794,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.46300000000002,34.774
64,eastern-mtlbbbbab           ,136.55,34.794,136.977,35.013,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.76350000000002,34.903499999999994
65,eastern-mtlbbbbbaaa         ,136.977,35.013,137.2,35.203,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.0885,35.108000000000004
66,eastern-mtlbbbbbaab         ,137.2,35.203,137.377,35.317,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.2885,35.260000000000005
67,eastern-mtlbbbbbab          ,137.377,35.317,137.563,35.415,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.47,35.366
68,eastern-mtlbbbbbbaa         ,137.563,35.415,137.684,35.449,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.62349999999998,35.432
69,eastern-mtlbbbbbbab         ,137.684,35.449,137.861,35.558,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.77249999999998,35.5035
70,eastern-mtlbbbbbbbaa        ,137.861,35.558,137.94,35.646,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.9005,35.602000000000004
71,eastern-mtlbbbbbbbab        ,137.94,35.646,138.037,35.76,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.9885,35.703
72,eastern-mtlbbbbbbbb         ,138.037,35.76,138.078,36.015,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,138.0575,35.8875
73,eu_phil_1aaa                ,133.802,31.789,134.238,32.039,165.0,100,0,0,0,0,0,0,0,0,25.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,134.01999999999998,31.914
74,eu_phil_1aaba               ,134.238,32.039,134.568,32.202,165.0,100,0,0,0,0,0,0,0,0,25.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,134.40300000000002,32.1205
75,eu_phil_1aabbaa             ,134.568,32.202,134.823,32.289,165.0,100,0,0,0,0,0,0,0,0,25.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,134.6955,32.2455
76,eu_phil_1aabbab             ,134.823,32.289,134.943,32.385,165.0,100,0,0,0,0,0,0,0,0,25.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,134.883,32.337
77,eu_phil_1aabbb              ,134.943,32.385,135.007,32.527,165.0,100,0,0,0,0,0,0,0,0,25.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,134.97500000000002,32.456
78,eu_phil_1abaaa              ,135.007,32.527,135.157,32.594,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,135.082,32.560500000000005
79,eu_phil_1abaaba             ,135.157,32.594,135.285,32.609,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,135.221,32.6015
80,eu_phil_1abaabb             ,135.285,32.609,135.487,32.616,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,135.386,32.6125
81,eu_phil_1ababaaa            ,135.487,32.616,135.859,32.669,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,135.673,32.6425
82,eu_phil_1ababaab            ,135.859,32.669,136.103,32.729,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,135.981,32.699
83,eu_phil_1ababab             ,136.103,32.729,136.29,32.796,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.19650000000001,32.7625
84,eu_phil_1ababba             ,136.29,32.796,136.422,32.805,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.356,32.8005
85,eu_phil_1ababbba            ,136.422,32.805,136.508,32.83,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.465,32.817499999999995
86,eu_phil_1ababbbba           ,136.508,32.83,136.793,32.941,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.65050000000002,32.8855
87,eu_phil_1ababbbbba          ,136.793,32.941,136.902,33.001,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.8475,32.971000000000004
88,eu_phil_1ababbbbbb          ,136.902,33.001,137.078,33.045,165.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,136.99,33.022999999999996
89,eu_phil_1abbaa              ,137.078,33.045,137.24,33.174,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.159,33.1095
90,eu_phil_1abbab              ,137.24,33.174,137.45,33.253,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.345,33.213499999999996
91,eu_phil_1abbbaa             ,137.45,33.253,137.652,33.35,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.551,33.301500000000004
92,eu_phil_1abbbab             ,137.652,33.35,137.72,33.372,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.68599999999998,33.361000000000004
93,eu_phil_1abbbba             ,137.72,33.372,137.803,33.438,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.7615,33.405
94,eu_phil_1abbbbba            ,137.803,33.438,137.915,33.563,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.85899999999998,33.5005
95,eu_phil_1abbbbbb            ,137.915,33.563,138.058,33.669,160.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,137.98649999999998,33.616
96,eu_phil_1baaa               ,138.058,33.669,138.178,33.785,155.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.118,33.727
97,eu_phil_1baab               ,138.178,33.785,138.362,33.885,155.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.26999999999998,33.834999999999994
98,eu_phil_1baba               ,138.362,33.885,138.467,34.041,155.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.4145,33.962999999999994
99,eu_phil_1babb               ,138.467,34.041,138.533,34.404,155.0,100,0,0,0,0,0,0,0,0,30.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.5,34.2225
100,eu_phil_1bbaaaa             ,138.533,34.404,138.587,34.587,155.0,100,0,0,0,0,0,0,0,0,23.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.56,34.49550000000001
101,eu_phil_1bbaaab             ,138.587,34.587,138.602,34.747,155.0,100,0,0,0,0,0,0,0,0,23.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.59449999999998,34.667
102,eu_phil_1bbaaba             ,138.602,34.747,138.624,34.886,155.0,100,0,0,0,0,0,0,0,0,23.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.613,34.816500000000005
103,eu_phil_1bbaabb             ,138.624,34.886,138.636,35.081,155.0,100,0,0,0,0,0,0,0,0,23.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,138.63,34.98350000000001
104,eu_phil_1bbab               ,138.636,35.081,138.594,35.204,45.0,100,0,0,0,0,0,0,0,0,20.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,138.615,35.1425
105,eu_phil_1bbba               ,138.594,35.204,138.547,35.297,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,138.57049999999998,35.2505
106,eu_phil_1bbbb               ,138.547,35.297,138.484,35.543,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,138.5155,35.42
107,eu_phil_2aa                 ,131.826,29.509,132.656,30.391,155.0,100,0,0,0,0,0,0,0,0,0.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,132.24099999999999,29.95
108,eu_phil_2ab                 ,132.656,30.391,132.677,30.662,155.0,100,0,0,0,0,0,0,0,0,0.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,132.66649999999998,30.5265
109,eu_phil_2ba                 ,132.677,30.662,132.812,30.975,155.0,100,0,0,0,0,0,0,0,0,0.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,132.74450000000002,30.8185
110,eu_phil_2bbaa               ,132.812,30.975,133.217,31.251,155.0,100,0,0,0,0,0,0,0,0,0.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,133.0145,31.113
111,eu_phil_2bbab               ,133.217,31.251,133.337,31.526,155.0,100,0,0,0,0,0,0,0,0,30.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,133.277,31.3885
112,eu_phil_2bbb                ,133.337,31.526,133.802,31.789,155.0,100,0,0,0,0,0,0,0,0,30.0,1,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,,133.5695,31.6575
