name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag
LeBeon08_BTT_1,35.499000,33.526000,35.449000,33.849000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_BTT_2,35.449000,33.849000,35.446000,34.153000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_BTT_3,35.446000,34.153000,35.616000,34.345000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_1,32.030000,34.645000,32.573000,34.545000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_2,32.573000,34.545000,33.017000,34.519000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_3,33.017000,34.519000,33.325000,34.372000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_4,33.325000,34.372000,33.669000,34.334000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_5,33.669000,34.334000,34.120000,34.489000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_6,34.120000,34.489000,34.525000,34.449000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_7,34.525000,34.449000,35.046000,34.651000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_8,35.046000,34.651000,35.380000,34.873000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_CyprusArc_9,35.380000,34.873000,35.706000,35.321000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_splay_1_a_a,35.485099,36.591397,35.582702,36.688951,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
LeBeon08_splay_2,35.972267,36.931360,36.176994,37.203087,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
MG_Tiryakioglu_a_a_a_a,29.524098,37.082222,29.479084,37.045483,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Mend_connect,25.598000,38.701000,25.251000,38.363000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Menderes_Vernant14_1,25.251000,38.363000,26.039000,38.092000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Menderes_Vernant14_10,27.491000,38.644000,26.988893,38.832540,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Menderes_Vernant14_11,26.988893,38.832540,25.598000,38.701000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Menderes_Vernant14_2,26.039000,38.092000,27.216178,37.813734,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Menderes_Vernant14_3_a,27.216178,37.813734,27.242886,37.808528,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
