,Unnamed: 0,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,centroid_lon,centroid_lat
47,47,ALB_close2                                                          ,56.6,37.469,56.743,37.368,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,56.6715,37.4185
48,48,ALPC_fault_1                                                        ,168.865,-44.0,169.465,-43.717,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-26.5,8.1,0,0.9,1.1,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,169.16500000000002,-43.8585
49,49,ALPC_fault_2                                                        ,169.465,-43.717,169.907,-43.53,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-27.0,7.5,0,5.8,3.7,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,169.686,-43.6235
50,50,ALPC_fault_3                                                        ,169.907,-43.53,170.349,-43.3,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-28.0,9.0,0,5.5,1.5,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,170.128,-43.415
51,51,ALPC_fault_4                                                        ,170.349,-43.3,170.768,-43.097,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-29.0,6.0,0,5.5,2.5,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,170.55849999999998,-43.198499999999996
52,52,ALPC_fault_5                                                        ,170.768,-43.097,171.145,-42.893,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,170.9565,-42.995000000000005
53,53,ALPC_fault_6                                                        ,171.145,-42.893,171.742,-42.593,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-10.2,3.6,0,5.9,1.5,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,171.4435,-42.743
54,54,ALPC_fault_7                                                        ,171.742,-42.593,171.889,-42.519,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,171.8155,-42.556
55,55,ALPF_fault_1                                                        ,166.139,-45.637,166.54,-45.37,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,166.3395,-45.5035
56,56,ALPF_fault_2                                                        ,166.54,-45.37,166.867,-45.105,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,166.7035,-45.2375
57,57,ALPF_fault_3                                                        ,166.867,-45.105,167.36,-44.805,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,167.1135,-44.955
58,58,ALPF_fault_4                                                        ,167.36,-44.805,167.78,-44.56,80.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,167.57,-44.682500000000005
