name,lon1,lat1,lon2,lat2,dip,create_ribbon_mesh,locking_depth,locking_depth_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,mesh_file_index,mesh_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
eu_phil_1ababbbbbb,136.902000,33.001000,137.078000,33.045000,165,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbaa,137.078000,33.045000,137.240000,33.174000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbab,137.240000,33.174000,137.450000,33.253000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbbaa,137.450000,33.253000,137.652000,33.350000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbbab,137.652000,33.350000,137.720000,33.372000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbbba,137.720000,33.372000,137.803000,33.438000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbbbba,137.803000,33.438000,137.915000,33.563000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1abbbbbb,137.915000,33.563000,138.058000,33.669000,160,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1baaa,138.058000,33.669000,138.178000,33.785000,155,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1baab,138.178000,33.785000,138.362000,33.885000,155,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1baba,138.362000,33.885000,138.467000,34.041000,155,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1babb,138.467000,34.041000,138.533000,34.404000,155,0,30,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1bbaaaa,138.533000,34.404000,138.587000,34.587000,155,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1bbaaab,138.587000,34.587000,138.602000,34.747000,155,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
eu_phil_1bbaaba,138.602000,34.747000,138.624000,34.886000,155,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0,-1,1,0,-1,1,0,-1,1
